ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94116,3,2017,Gas- Commercial,Y,410,132001,322
94117,1,2017,Gas- Commercial,Y,0,0,NA
94117,2,2017,Gas- Commercial,Y,0,0,NA
94117,3,2017,Gas- Commercial,Y,0,0,NA
94118,1,2017,Gas- Commercial,Y,1441,687062,477
94118,2,2017,Gas- Commercial,Y,618,233955,379
94118,3,2017,Gas- Commercial,Y,619,201514,326
94121,1,2017,Gas- Commercial,N,307,100580,328
94121,2,2017,Gas- Commercial,N,307,82823,270
94121,3,2017,Gas- Commercial,N,309,86229,279
94122,1,2017,Gas- Commercial,N,522,148500,284
94122,2,2017,Gas- Commercial,N,521,129117,248
94122,3,2017,Gas- Commercial,N,521,124954,240
94123,1,2017,Gas- Commercial,N,470,149154,317
94123,2,2017,Gas- Commercial,N,472,119944,254
94123,3,2017,Gas- Commercial,N,472,122075,259
94124,1,2017,Gas- Commercial,Y,832,267086,321
94124,2,2017,Gas- Commercial,Y,830,204072,246
94124,3,2017,Gas- Commercial,Y,833,188353,226
94127,1,2017,Gas- Commercial,Y,0,0,NA
94127,2,2017,Gas- Commercial,Y,0,0,NA
94127,3,2017,Gas- Commercial,Y,0,0,NA
94128,1,2017,Gas- Commercial,Y,0,0,NA
94128,2,2017,Gas- Commercial,Y,0,0,NA
94128,3,2017,Gas- Commercial,Y,0,0,NA
94129,1,2017,Gas- Commercial,Y,0,0,NA
94129,2,2017,Gas- Commercial,Y,0,0,NA
94129,3,2017,Gas- Commercial,Y,0,0,NA
94131,1,2017,Gas- Commercial,Y,0,0,NA
94131,2,2017,Gas- Commercial,Y,0,0,NA
94131,3,2017,Gas- Commercial,Y,0,0,NA
94132,1,2017,Gas- Commercial,Y,0,0,NA
94132,2,2017,Gas- Commercial,Y,0,0,NA
94132,3,2017,Gas- Commercial,Y,0,0,NA
94133,1,2017,Gas- Commercial,N,580,301826,520
94133,2,2017,Gas- Commercial,N,579,244147,422
94133,3,2017,Gas- Commercial,N,578,256653,444
94134,1,2017,Gas- Commercial,Y,0,0,NA
94134,2,2017,Gas- Commercial,Y,0,0,NA
94134,3,2017,Gas- Commercial,Y,0,0,NA
94158,1,2017,Gas- Commercial,Y,0,0,NA
94158,2,2017,Gas- Commercial,Y,0,0,NA
94158,3,2017,Gas- Commercial,Y,0,0,NA
94303,1,2017,Gas- Commercial,Y,0,0,NA
94303,2,2017,Gas- Commercial,Y,0,0,NA
94303,3,2017,Gas- Commercial,Y,0,0,NA
94304,1,2017,Gas- Commercial,Y,0,0,NA
